# Edit at your own risk. Consists of Location Data for GTASA Control Center
# This file gets regenerated when you click on Save Changes to Config File button.
# If you delete this file, it will be regenerated by the next time you run GTASA Control Center
GTASAWarpLocations
#GTA San Andreas Warp Locations:
#UID | Folder | Description | LocationData(X;Y;Z;Angle)
2A802F2F-554D-F746-8555-D5E18BAEBD40|GTA SA Locations\Tags|Tag 044|1207.281;-1163.964;23.342;94.325
62B93F13-64B1-CF4F-89A8-A2149389D219|GTA SA Locations\Tags|Tag 045|1097.243;-1292.424;17.046;270
3F355143-BEE3-AB4A-8F3B-54750F3E0BA0|GTA SA Locations\Tags|Tag 046|1295.013;-1463.538;10.047;184.542
C67CDE10-1D67-3448-A331-EA8F61DF234B|GTA SA Locations\Tags|Tag 047|1271.688;-1664.139;19.734;0.927
06087972-4400-B146-9A25-FF88BA780CC8|GTA SA Locations\Tags|Tag 048|1331.991;-1725.364;13.547;359.070
D4E511FC-07F1-7F46-AB4A-851639325E9C|GTA SA Locations\Tags|Tag 049|1448.114;-1754.151;13.546;180
35EFE95F-C810-BA4F-90BB-B4D93AA6DA7C|GTA SA Locations\Tags|Tag 050|1549.645;-1716.130;13.546;0
D0B167E2-2E2E-E840-9340-509037A12126|GTA SA Locations\Tags|Tag 051|1746.763;-1358.297;15.767;180
3ED58983-D12C-1D40-A06A-C68E16B7E2CB|GTA SA Locations\Tags|Tag 052|1687.498;-1237.658;14.984;180
8963E6A5-5C63-3B42-ACC6-3DCFC732CAEC|GTA SA Locations\Tags|Tag 053|1498.660;-1205.964;23.598;180
77CCC3DD-886A-A243-BA00-4978A09138CA|GTA SA Locations\Tags|Tag 054|1520.961;-1011.362;23.953;90
5CCC78E6-F570-9E49-B253-6DA8D192F6AB|GTA SA Locations\Tags|Tag 055|1730.939;-963.124;40.938;270
F1BBF379-5F7D-DE46-A9E2-D726EDF296E9|GTA SA Locations\Tags|Tag 056|1913.228;-1064.635;24.124;90
14EAC9F4-0E0C-8444-A829-86906FD41BCD|GTA SA Locations\Tags|Tag 057|2061.379;-996.183;47.976;250
7DCCA3E0-8446-3543-9A76-85A0F7CCE4AE|GTA SA Locations\Tags|Tag 058|2075.973;-1070.312;27.308;225
6484147C-799A-5B49-8FAA-E5F30D2B0247|GTA SA Locations\Tags|Tag 059|2121.713;-1060.012;25.208;237.206
8CCE999A-7071-5245-87EC-39D64BC7FB6F|GTA SA Locations\Tags|Tag 060|2240.197;-998.132;59.582;150
28F95251-5FCA-9D45-A20F-7EFA975D78CC|GTA SA Locations\Tags|Tag 061|2282.719;-1119.017;26.898;90.878
D7FFA194-9D14-5F4D-975D-A88C24F6EC9C|GTA SA Locations\Tags|Tag 062|2224.817;-1194.034;25.440;0
5E0FF53C-65B1-E340-854B-D0DF27245D7B|GTA SA Locations\Tags|Tag 063|2119.264;-1195.638;23.817;180
DF90932A-5570-1A4E-89CB-816609857036|GTA SA Locations\Tags|Tag 064|1967.098;-1176.204;20.030;0
4FCE7EE6-92D9-1B40-87F5-5D4FBA4092B4|GTA SA Locations\Tags|Tag 065|1968.360;-1290.456;23.984;266.613
88898048-B1D0-014D-ACD8-78247FD12F1D|GTA SA Locations\Tags|Tag 066|1974.226;-1353.350;23.793;0
58880997-F145-5340-8788-EDF487A54FB4|GTA SA Locations\Tags|Tag 067|2091.776;-1416.434;23.974;328.906
99E5B68B-A338-7A47-A4BB-F0906B26762E|GTA SA Locations\Tags|Tag 068|2182.146;-1466.358;25.539;180
807E3F58-56C5-ED4B-935D-DCB63A087E4C|GTA SA Locations\Tags|Tag 069|2235.465;-1367.453;24.531;90
F4199857-6028-4D4C-8CF1-EC7A04407256|GTA SA Locations\Tags|Tag 070|2132.208;-1260.967;23.992;0
781D063F-5FF1-FC42-963E-DAF8096284E4|GTA SA Locations\Tags|Tag 071|2324.297;-1252.486;22.500;133.492
40311965-C6EA-2F45-AEA5-EB3A805161ED|GTA SA Locations\Tags|Tag 072|2346.417;-1352.023;24.017;0
F48F70BA-A6DB-EA43-9AE6-DA5590049225|GTA SA Locations\Tags|Tag 073|2462.108;-1543.504;24.344;0
979B47E2-1662-BE4C-939E-E5FDD1E86135|GTA SA Locations\Tags|Tag 074|2520.394;-1478.661;23.994;268.250
897E0EC6-C2CE-AC46-98B8-AB77A264AF5E|GTA SA Locations\Tags|Tag 075|2541.438;-1363.430;31.327;270
2158B53A-4A69-D84F-8501-F38BC75502E5|GTA SA Locations\Tags|Tag 076|2537.782;-1353.086;30.726;90
6C4D0A80-4DD6-074C-8584-D6E38E89FEB0|GTA SA Locations\Tags|Tag 077|2579.622;-1274.288;46.141;270
21411D41-3E60-5040-A9AC-CAC31C216C61|GTA SA Locations\Tags|Tag 078|2601.579;-1196.557;61.221;200
B1018ECB-AB35-9D43-B6A9-C50283BBA22B|GTA SA Locations\Tags|Tag 079|2576.711;-1144.210;47.849;0
FD5F5E01-77C3-0A4D-9BDF-963464F1B70A|GTA SA Locations\Tags|Tag 080|2621.352;-1094.372;69.608;0
89474996-1AF3-CC4C-BFD0-E9BBC70BCEF4|GTA SA Locations\Tags|Tag 081|2798.014;-1096.248;30.718;180
6F12A1E0-AEB0-2746-8092-9EC8E8E7361F|GTA SA Locations\Tags|Tag 082|2820.303;-1189.204;25.217;180
91038E5B-65AD-2C44-8C3C-637BEC032874|GTA SA Locations\Tags|Tag 083|2767.409;-1197.038;68.885;90
346FDAEF-1A75-9346-BC50-807132F28045|GTA SA Locations\Tags|Tag 084|2841.793;-1314.262;18.546;0
C75908B0-B1B1-0640-BB2A-F3202B11DB08|GTA SA Locations\Tags|Tag 085|2819.425;-1465.254;16.256;270
0EF067B0-718D-8443-A8A3-8822B2F7CC8D|GTA SA Locations\Tags|Tag 086|2754.528;-1388.207;39.375;270
EC0E58EB-1961-AD4E-B56F-C2647685F43C|GTA SA Locations\Tags|Tag 087|2669.374;-1469.278;30.561;90
7C6B233C-97A6-EA44-9997-E02D844E6A00|GTA SA Locations\Tags|Tag 088|2613.026;-1392.138;34.812;0
A89F00B6-A958-3F41-B607-A83BBA3AB902|GTA SA Locations\Tags|Tag 089|2769.120;-1621.010;10.927;90
51AD5992-A7D7-F848-BA66-8E18E56A417B|GTA SA Locations\Tags|Tag 090|2768.663;-1821.469;11.848;26.691
A94B2FE4-272A-F840-95B7-5EC306046B2B|GTA SA Locations\Tags|Tag 091|2875.857;-1909.443;7.794;90
D3CBACBC-4418-3B4E-B5F3-32B1A5BF60DA|GTA SA Locations\Tags|Tag 092|2794.455;-1905.185;13.539;180
D89CB5AA-C499-1744-8EB7-16161938FE66|GTA SA Locations\Tags|Tag 093|2814.561;-1942.169;11.109;90
CA5DA6C0-A7CE-2744-8147-9DC1B587A49A|GTA SA Locations\Tags|Tag 094|2764.239;-2012.256;13.554;90
79B500AD-A43D-2C4C-BBDB-5C2D2AD4C2DB|GTA SA Locations\Tags|Tag 095|2706.175;-1968.158;13.547;88.732
17E01D14-F029-D940-AAFB-6389FB25673A|GTA SA Locations\Tags|Tag 096|2489.187;-1957.386;13.592;180
82EF4325-7731-1D48-961B-B43E098A1C96|GTA SA Locations\Tags|Tag 097|2392.103;-1916.790;13.383;0
C9150A37-FFCC-0B4D-AC71-36910175C14D|GTA SA Locations\Tags|Tag 098|2430.186;-2001.233;13.547;0
76E5F7B2-F089-1E48-A5E2-AFB6E76331D8|GTA SA Locations\Tags|Tag 099|2588.621;-2063.699;4.190;90
6BD15AC3-3C95-A545-9736-DE93F76D4F12|GTA SA Locations\Tags|Tag 100|2705.726;-2144.231;11.071;90
05FBE504-7D8F-0044-ABB7-6D944B97BE18|GTA SA Locations\Unique Jumps|Unique Jump 01|1939.136;-1968.052;17.665;90
B4C00210-6B6B-714A-A741-7D90062BD569|GTA SA Locations\Unique Jumps|Unique Jump 02|2209.275;-1843.686;19.096;90
72AF6D63-BB49-A84A-8EE0-4CD9046058AB|GTA SA Locations\Unique Jumps|Unique Jump 03|1177.215;-1696.761;21.368;90
0E53AAA2-4E99-1946-B871-9048E16D2B68|GTA SA Locations\Unique Jumps|Unique Jump 04|2278.29;-1357.857;31.326;90
8C9968A7-7224-044A-BF5F-9B1AB7854AC7|GTA SA Locations\Unique Jumps|Unique Jump 05|2335.351;-2163.947;18.515;90
6E100856-CE38-9E44-91A3-974C24DC6AFD|GTA SA Locations\Unique Jumps|Unique Jump 06|2825.933;-1582.66;18.126;90
2169EC5F-2ACC-844C-B0A0-52EDFACCD8CA|GTA SA Locations\Unique Jumps|Unique Jump 07|2460.176;-2567.911;18.816;90
BB1010A8-8459-EA46-892B-05B0A6EF8D61|GTA SA Locations\Unique Jumps|Unique Jump 08|1832.453;-2386.805;17.925;90
60973F76-7146-EB40-9ABB-AA4FF686C939|GTA SA Locations\Unique Jumps|Unique Jump 09|1839.745;-2514.476;16.177;90
C1FA9E62-C0CB-7F49-A5E2-141BB86F76FB|GTA SA Locations\Unique Jumps|Unique Jump 10|2634.397;-2107.984;17.089;90
4D89BC8F-197E-A048-B5F0-EF499BDD2099|GTA SA Locations\Unique Jumps|Unique Jump 11|2352.3;-1259.068;28.996;90
189A1E4D-62AD-3849-A330-6A9A89B0143E|GTA SA Locations\Unique Jumps|Unique Jump 12|1013.163;-1270.362;24.446;90
26B9126A-3BD4-B046-8D04-810A04A514C9|GTA SA Locations\Unique Jumps|Unique Jump 13|-973.357;-223.231;53.372;90
7AF930A5-14C2-6646-8E32-3AD6C29986AE|GTA SA Locations\Unique Jumps|Unique Jump 14|-2637.069;780.395;50.017;90
2E4EA1A7-F12D-4641-AB26-3458DE8BDA8F|GTA SA Locations\Unique Jumps|Unique Jump 15|-2520.199;1169.203;59.553;90
C6177CE9-1FD8-7446-BC35-8380912F2B08|GTA SA Locations\Unique Jumps|Unique Jump 16|-1794.982;1211.612;35.679;90
F1646C97-DD0A-D343-ABCF-F160A003C030|GTA SA Locations\Unique Jumps|Unique Jump 17|-2659.551;1533.67;53.2;90
BF378958-D857-5342-B72C-0B84407CF531|GTA SA Locations\Unique Jumps|Unique Jump 18|-1690.662;1110.392;57.278;90
ED4909C2-205D-CB42-BFAB-E9765EB70FFA|GTA SA Locations\Unique Jumps|Unique Jump 19|-2145.461;-112.026;44.345;90
D29FFCE5-483D-FC4E-963B-66243858516D|GTA SA Locations\Unique Jumps|Unique Jump 20|-267.774;2662.036;68.741;90
7C8C1E42-7454-0F4B-8898-8F92D9180209|GTA SA Locations\Unique Jumps|Unique Jump 21|-249.69;2590.805;66.119;90
58A65A0C-9AAD-3947-BC82-B0FEAB42ACC4|GTA SA Locations\Unique Jumps|Unique Jump 22|-871.503;2308.79;164.574;90
FB1CEC11-F94F-A845-A051-87299CC76D05|GTA SA Locations\Unique Jumps|Unique Jump 23|2073.713;2366.653;50.853;90
0534DC03-B5BA-8948-A164-200F18E79381|GTA SA Locations\Unique Jumps|Unique Jump 24|2170.946;2402.609;62.291;90
04AF5F43-CE27-A049-90DF-7234AED66432|GTA SA Locations\Unique Jumps|Unique Jump 25|2418.056;1353.234;12.364;90
12498437-0AE6-2F42-88A0-28C0AEDB9ACD|GTA SA Locations\Unique Jumps|Unique Jump 26|2407.308;1364.378;14.573;90
60F753C2-B2E6-AD4C-919C-5BF1CDB8A5B1|GTA SA Locations\Unique Jumps|Unique Jump 27|2784.763;2208.72;15.193;90
5168805D-B35E-8144-9A46-C789E0C34AB2|GTA SA Locations\Unique Jumps|Unique Jump 28|1482.383;2037.004;17.058;90
D62D606D-8AB3-F84A-BB29-0E1D3B49BA98|GTA SA Locations\Unique Jumps|Unique Jump 29|1976.397;2593.686;17.213;90
52C23E6A-D7BF-6C42-98FC-C8188338D58B|GTA SA Locations\Unique Jumps|Unique Jump 30|1636.264;2399.712;15.89;90
1FC810F6-03CF-A64B-9127-1585474B89AA|GTA SA Locations\Unique Jumps|Unique Jump 31|2119.23;2385.213;33.709;90
3A8FE276-1E4C-B445-8CF8-2FF62759768D|GTA SA Locations\Unique Jumps|Unique Jump 32|-2082.529;-2498.932;33.968;90
7C1CE3BB-951B-EE4C-A1C3-8E3F10D6095E|GTA SA Locations\Unique Jumps|Unique Jump 33|2112.408;97.9;39.993;90
9DB0B316-AEFC-034B-95ED-D751577F0B2E|GTA SA Locations\Unique Jumps|Unique Jump 34|-2100.413;-1743.595;199.731;90
EBEE150E-5008-FC42-844A-AEC85CB3911D|GTA SA Locations\Unique Jumps|Unique Jump 35|-2287.671;-2800.778;22.054;90
FEA21865-30B6-C44A-8DAF-7A7966182CDA|GTA SA Locations\Unique Jumps|Unique Jump 36|110.89;2428.049;23.794;90
FF762806-8A46-2D40-80FA-85A24FCBA6DC|GTA SA Locations\Unique Jumps|Unique Jump 37|-894.496;2693.199;44.73;90
74BB5F46-8251-404C-B350-AC8B71F89CE2|GTA SA Locations\Unique Jumps|Unique Jump 38|89.994;-243.205;7.558;90
59058582-3458-5041-AE43-9DE492576758|GTA SA Locations\Unique Jumps|Unique Jump 39|160.799;-160.248;6.145;90
3C196D9C-33DB-D746-B33E-C520EE5F65FB|GTA SA Locations\Unique Jumps|Unique Jump 40|-72.3;17.7;8.413;90
37B4FAF9-07DD-4F42-8A8F-A8CAB3881544|GTA SA Locations\Unique Jumps|Unique Jump 41|-39.799;53.301;6.922;90
76329039-A301-234C-A44D-1B9391766E35|GTA SA Locations\Unique Jumps|Unique Jump 42|638.75;-520.071;18.852;90
EE3E50A0-B123-514C-806C-F1D37B0A0378|GTA SA Locations\Unique Jumps|Unique Jump 43|1749.723;779.603;13.476;90
E8681011-4EFD-9F4A-9786-92BB84B7CF88|GTA SA Locations\Unique Jumps|Unique Jump 44|110.245;-257.993;6.274;90
5989A91E-EAEF-6B4D-B292-CA89DBB0ED15|GTA SA Locations\Unique Jumps|Unique Jump 45|2125.642;95.254;37.396;90
3295AC48-5710-134A-87C1-C38C0888BF55|GTA SA Locations\Unique Jumps|Unique Jump 46|-344.647;-9.881;44.961;90
9903EDF4-9DF7-BC4E-9A2E-B5B48F190F4F|GTA SA Locations\Unique Jumps|Unique Jump 47|-2589.18;1164.37;59.826;90
0BAAB477-43E6-B74B-B86A-E8000C5F5001|GTA SA Locations\Unique Jumps|Unique Jump 48|-2292.044;1097.71;84.735;90
38861F55-E000-9743-A415-5684D01CE7D3|GTA SA Locations\Unique Jumps|Unique Jump 49|-2408.285;723.298;38.684;90
9B4662B8-E7FE-AD4F-89A3-4AB3506572C8|GTA SA Locations\Unique Jumps|Unique Jump 50|-2116.356;925.683;87.819;90
EB6D70A3-76DC-AB45-A9CE-5C03F69C21F6|GTA SA Locations\Unique Jumps|Unique Jump 51|-1903.192;223.347;37.797;90
DA4D6045-AC8C-2341-959C-E51BE70473CC|GTA SA Locations\Unique Jumps|Unique Jump 52|-1687.323;-162.201;17.86;90
171C95C5-4C4D-E44D-A7D3-F6BD3CE99FC8|GTA SA Locations\Unique Jumps|Unique Jump 53|-1729.924;-364.528;18.225;90
41CAEB1C-D61C-D244-98A5-04BB1D7BD3DA|GTA SA Locations\Unique Jumps|Unique Jump 54|-1972.099;-543.09;38.986;90
97E7A326-5FDC-3C4C-B9B2-94660F7C7CA3|GTA SA Locations\Unique Jumps|Unique Jump 55|2770.214;-1177.477;70.753;90
6BBEFE3B-E3F2-9C4F-A7BA-84EE28D42900|GTA SA Locations\Unique Jumps|Unique Jump 56|2248.838;-2463.258;15.105;90
348AD23D-14C4-E946-9F53-94539625D6B2|GTA SA Locations\Unique Jumps|Unique Jump 57|2248.832;-2627.623;15.181;90
15BC472D-A43F-8741-82F1-915E3A6D8D1E|GTA SA Locations\Unique Jumps|Unique Jump 58|2326.122;-1508.751;27.007;90
7D7D2BAF-5AA4-FE43-B0D3-9BD9E28355D3|GTA SA Locations\Unique Jumps|Unique Jump 59|1623.574;-1110.956;61.818;90
92D9E00B-EDF8-154B-B6C1-C8A819228481|GTA SA Locations\Unique Jumps|Unique Jump 60|1679.646;-962.221;65.674;90
D28ECFEB-3275-9A4B-8BDA-D60523157FBB|GTA SA Locations\Unique Jumps|Unique Jump 61|1667.167;-992.858;32.759;90
52FAF0B8-CAD9-3A44-B9A5-1577DEE2B4BF|GTA SA Locations\Unique Jumps|Unique Jump 62|347;-1662.299;35.822;90
A2BF6CAF-E11E-1E46-958A-A61ADED59EF9|GTA SA Locations\Unique Jumps|Unique Jump 63|743.153;-1132.819;25.799;90
4318F6D2-EAE1-F647-B004-960B85907CFA|GTA SA Locations\Unique Jumps|Unique Jump 64|1395.562;-1460.566;12.391;90
46A153DE-03CC-B34C-908E-F658603C25C0|GTA SA Locations\Unique Jumps|Unique Jump 65|1586.489;312.888;23.997;90
502E5A12-5C2A-8146-8493-F06565C1F7C2|GTA SA Locations\Unique Jumps|Unique Jump 66|2058.1;-2677.517;15.495;90
71E072B0-6AE6-A747-96E2-FB1E93083617|GTA SA Locations\Unique Jumps|Unique Jump 67|586.01;-1773.769;15.231;90
C4182D10-7C04-7F42-ACAA-666BBF76FEF0|GTA SA Locations\Unique Jumps|Unique Jump 68|2172.078;2430.507;61.747;90
88DA683D-6497-384B-B414-56085D79AAEC|GTA SA Locations\Unique Jumps|Unique Jump 69|2176.132;2268.196;13.468;90
C298AD43-1F93-EA4C-B2C8-6C096F48571A|GTA SA Locations\Unique Jumps|Unique Jump 70|-2213.773;-311.079;38.534;90
END_GTASAWarpLocations

